,date,price,instrument_name
0,2017-01-02 00:00:00+05:30,8179.5,NIFTY 50
1,2017-01-03 00:00:00+05:30,8192.25,NIFTY 50
2,2017-01-04 00:00:00+05:30,8190.5,NIFTY 50
3,2017-01-05 00:00:00+05:30,8273.8,NIFTY 50
4,2017-01-06 00:00:00+05:30,8243.8,NIFTY 50
5,2017-01-09 00:00:00+05:30,8236.05,NIFTY 50
6,2017-01-10 00:00:00+05:30,8288.6,NIFTY 50
7,2017-01-11 00:00:00+05:30,8380.65,NIFTY 50
8,2017-01-12 00:00:00+05:30,8407.2,NIFTY 50
9,2017-01-13 00:00:00+05:30,8400.35,NIFTY 50
10,2017-01-16 00:00:00+05:30,8412.8,NIFTY 50
11,2017-01-17 00:00:00+05:30,8398,NIFTY 50
12,2017-01-18 00:00:00+05:30,8417,NIFTY 50
13,2017-01-19 00:00:00+05:30,8435.1,NIFTY 50
14,2017-01-20 00:00:00+05:30,8349.35,NIFTY 50
15,2017-01-23 00:00:00+05:30,8391.5,NIFTY 50
16,2017-01-24 00:00:00+05:30,8475.8,NIFTY 50
17,2017-01-25 00:00:00+05:30,8602.75,NIFTY 50
18,2017-01-27 00:00:00+05:30,8641.25,NIFTY 50
19,2017-01-30 00:00:00+05:30,8632.75,NIFTY 50
20,2017-01-31 00:00:00+05:30,8561.3,NIFTY 50
21,2017-02-01 00:00:00+05:30,8716.4,NIFTY 50
22,2017-02-02 00:00:00+05:30,8734.25,NIFTY 50
23,2017-02-03 00:00:00+05:30,8740.95,NIFTY 50
24,2017-02-06 00:00:00+05:30,8801.05,NIFTY 50
25,2017-02-07 00:00:00+05:30,8768.3,NIFTY 50
26,2017-02-08 00:00:00+05:30,8769.05,NIFTY 50
27,2017-02-09 00:00:00+05:30,8778.4,NIFTY 50
28,2017-02-10 00:00:00+05:30,8793.55,NIFTY 50
29,2017-02-13 00:00:00+05:30,8805.05,NIFTY 50
30,2017-02-14 00:00:00+05:30,8792.3,NIFTY 50
31,2017-02-15 00:00:00+05:30,8724.7,NIFTY 50
32,2017-02-16 00:00:00+05:30,8778,NIFTY 50
33,2017-02-17 00:00:00+05:30,8821.7,NIFTY 50
34,2017-02-20 00:00:00+05:30,8879.2,NIFTY 50
35,2017-02-21 00:00:00+05:30,8907.85,NIFTY 50
36,2017-02-22 00:00:00+05:30,8926.9,NIFTY 50
37,2017-02-23 00:00:00+05:30,8939.5,NIFTY 50
38,2017-02-27 00:00:00+05:30,8896.7,NIFTY 50
39,2017-02-28 00:00:00+05:30,8879.6,NIFTY 50
40,2017-03-01 00:00:00+05:30,8945.8,NIFTY 50
41,2017-03-02 00:00:00+05:30,8899.75,NIFTY 50
42,2017-03-03 00:00:00+05:30,8897.55,NIFTY 50
43,2017-03-06 00:00:00+05:30,8963.45,NIFTY 50
44,2017-03-07 00:00:00+05:30,8946.9,NIFTY 50
45,2017-03-08 00:00:00+05:30,8924.3,NIFTY 50
46,2017-03-09 00:00:00+05:30,8927,NIFTY 50
47,2017-03-10 00:00:00+05:30,8934.55,NIFTY 50
48,2017-03-14 00:00:00+05:30,9087,NIFTY 50
49,2017-03-15 00:00:00+05:30,9084.8,NIFTY 50
50,2017-03-16 00:00:00+05:30,9153.7,NIFTY 50
51,2017-03-17 00:00:00+05:30,9160.05,NIFTY 50
52,2017-03-20 00:00:00+05:30,9126.85,NIFTY 50
53,2017-03-21 00:00:00+05:30,9121.5,NIFTY 50
54,2017-03-22 00:00:00+05:30,9030.45,NIFTY 50
55,2017-03-23 00:00:00+05:30,9086.3,NIFTY 50
56,2017-03-24 00:00:00+05:30,9108,NIFTY 50
57,2017-03-27 00:00:00+05:30,9045.2,NIFTY 50
58,2017-03-28 00:00:00+05:30,9100.8,NIFTY 50
59,2017-03-29 00:00:00+05:30,9143.8,NIFTY 50
60,2017-03-30 00:00:00+05:30,9173.75,NIFTY 50
61,2017-03-31 00:00:00+05:30,9173.75,NIFTY 50
62,2017-04-03 00:00:00+05:30,9237.85,NIFTY 50
63,2017-04-05 00:00:00+05:30,9265.15,NIFTY 50
64,2017-04-06 00:00:00+05:30,9261.95,NIFTY 50
65,2017-04-07 00:00:00+05:30,9198.3,NIFTY 50
66,2017-04-10 00:00:00+05:30,9181.45,NIFTY 50
67,2017-04-11 00:00:00+05:30,9237,NIFTY 50
68,2017-04-12 00:00:00+05:30,9203.45,NIFTY 50
69,2017-04-13 00:00:00+05:30,9150.8,NIFTY 50
70,2017-04-17 00:00:00+05:30,9139.3,NIFTY 50
71,2017-04-18 00:00:00+05:30,9105.15,NIFTY 50
72,2017-04-19 00:00:00+05:30,9103.5,NIFTY 50
73,2017-04-20 00:00:00+05:30,9136.4,NIFTY 50
74,2017-04-21 00:00:00+05:30,9119.4,NIFTY 50
75,2017-04-24 00:00:00+05:30,9217.95,NIFTY 50
76,2017-04-25 00:00:00+05:30,9306.6,NIFTY 50
77,2017-04-26 00:00:00+05:30,9351.85,NIFTY 50
78,2017-04-27 00:00:00+05:30,9342.15,NIFTY 50
79,2017-04-28 00:00:00+05:30,9304.05,NIFTY 50
80,2017-05-02 00:00:00+05:30,9313.8,NIFTY 50
81,2017-05-03 00:00:00+05:30,9311.95,NIFTY 50
82,2017-05-04 00:00:00+05:30,9359.9,NIFTY 50
83,2017-05-05 00:00:00+05:30,9285.3,NIFTY 50
84,2017-05-08 00:00:00+05:30,9314.05,NIFTY 50
85,2017-05-09 00:00:00+05:30,9316.85,NIFTY 50
86,2017-05-10 00:00:00+05:30,9407.3,NIFTY 50
87,2017-05-11 00:00:00+05:30,9422.4,NIFTY 50
